vertex,out-degree,in-degree
70.216.136.234,9,2
70.217.188.125,5,11
70.217.188.193,7,4
70.219.172.119,7,4
70.219.199.17,5,1
70.220.179.163,4,4
70.224.33.47,5,9
70.231.88.77,9,9
70.233.156.223,9,2
70.234.70.172,5,4
70.238.188.87,7,1
70.239.71.241,12,5
70.240.51.134,7,1
70.240.136.218,8,8
70.244.246.251,6,9
70.253.250.55,5,9
71.2.104.149,5,4
71.7.45.153,8,13
71.17.208.250,7,9
71.18.35.172,5,3
71.19.60.147,11,4
71.20.12.116,10,1
71.23.118.68,2,10
71.39.57.115,8,5
71.41.254.197,8,7
71.63.7.132,1,1
71.63.211.85,3,7
71.66.161.213,7,9
71.68.28.30,10,2
71.75.51.99,6,10
71.77.232.140,9,6
71.85.167.36,9,16
71.85.245.221,7,10
71.86.205.137,9,5
71.88.27.241,7,7
71.93.86.57,6,5
71.97.238.199,4,17
71.100.27.115,7,6
71.100.174.231,7,10
71.106.93.239,6,9
71.109.96.145,8,12
71.110.248.101,10,12
71.112.164.177,8,5
71.112.167.155,3,3
71.115.150.188,5,3
71.117.103.18,6,13
71.129.150.40,6,4
71.132.78.174,5,3
71.135.111.207,4,5
71.146.99.226,8,5
71.155.13.238,9,15
71.156.2.1,7,14
71.157.12.134,4,1
71.164.134.129,7,9
71.165.70.212,4,1
71.166.187.166,5,5
71.173.206.217,5,3
71.176.79.193,11,4
71.184.129.192,6,2
71.190.177.11,4,3
71.197.195.108,4,1
71.211.203.191,7,3
71.212.234.92,7,8
71.213.40.17,7,15
71.213.150.114,6,5
71.216.168.165,7,7
71.222.210.197,9,1
71.229.220.250,10,8
71.230.96.248,10,6
71.231.64.253,10,6
71.237.109.221,6,3
71.240.180.175,11,9
71.252.203.121,4,9
72.3.110.247,10,5
72.11.143.119,8,10
72.12.173.240,10,4
72.14.171.46,3,10
72.15.97.175,7,6
72.18.39.41,11,10
72.18.198.244,8,5
72.22.122.164,7,9
72.34.185.253,13,6
72.37.40.81,5,8
72.58.12.252,5,9
72.59.213.55,4,1
72.61.41.204,13,3
72.66.180.4,6,2
72.67.132.84,9,19
72.68.237.14,11,4
72.70.196.183,5,10
72.71.216.92,5,10
72.74.23.222,4,1
72.84.139.75,0,3
72.90.171.150,8,9
72.111.111.166,5,4
72.113.212.78,5,9
72.115.144.127,5,7
72.132.189.169,2,5
72.145.99.207,6,6
72.146.102.92,4,6
72.149.250.48,6,3
72.153.226.32,6,6
72.159.145.188,8,10
72.176.155.111,12,1
72.181.189.62,8,15
72.193.76.37,4,4
72.199.122.223,5,1
72.201.91.164,10,2
72.201.144.246,4,8
72.211.189.123,7,15
72.214.195.151,6,9
72.226.198.77,5,8
72.229.122.17,8,17
72.231.170.134,10,3
73.7.176.67,8,2
73.14.50.92,7,7
73.19.175.3,7,2
73.23.198.142,6,6
73.32.97.140,4,3
73.35.76.111,9,17
73.36.217.168,14,2
73.42.111.183,9,4
73.42.179.139,4,6
73.44.7.186,5,2
73.44.95.248,7,9
73.47.13.36,5,5
73.48.204.194,6,14
73.61.59.192,7,2
73.64.177.185,9,4
73.70.2.172,9,7
73.82.236.177,7,3
73.84.62.19,9,17
73.84.187.189,7,6
73.87.51.93,11,8
73.89.221.25,18,7
73.92.158.211,7,6
73.95.17.31,3,3
73.101.57.111,5,9
73.104.145.131,8,10
73.108.216.218,4,8
73.111.43.108,8,1
73.124.9.231,9,3
73.125.36.197,8,22
73.139.235.246,9,7
73.144.27.97,7,6
73.150.105.172,7,10
73.151.59.5,2,4
73.155.236.236,14,10
73.159.126.169,2,6
73.160.48.189,11,9
73.161.60.82,7,7
73.162.165.133,10,7
73.163.198.165,5,6
73.166.57.57,5,17
73.178.80.223,7,9
73.181.149.23,14,2
73.190.34.148,5,4
73.196.146.35,2,7
73.200.9.243,12,11
73.203.172.122,6,7
73.217.213.58,10,7
73.222.220.52,11,4
73.227.119.242,7,21
73.227.239.30,7,10
73.229.150.253,8,8
73.236.17.163,5,5
73.238.16.158,7,2
73.238.215.235,8,8
73.254.197.26,7,4
74.2.186.139,8,6
74.6.144.178,1,2
74.19.211.230,11,7
74.22.148.233,5,2
74.22.192.34,7,9
74.23.20.95,5,7
74.23.175.189,4,2
74.23.239.11,4,3
74.37.16.80,1,18
74.41.93.234,4,3
74.60.64.251,6,14
74.62.126.154,7,14
74.80.110.250,8,7
74.86.14.41,4,3
74.88.229.206,10,1
74.92.215.95,3,3
74.93.123.8,7,10
74.100.175.14,7,6
74.101.61.24,10,9
74.103.216.157,8,4
74.108.18.84,8,4
74.108.251.254,10,17
74.111.99.54,9,7
74.112.242.111,5,4
74.114.179.54,6,3
74.115.195.250,10,9
74.121.167.163,8,15
74.123.69.186,6,3
74.124.49.219,2,8
74.131.53.121,7,7
74.131.148.115,9,1
74.138.179.171,4,10
74.141.167.246,8,7
74.142.115.154,13,9
74.144.8.161,13,6
74.144.195.10,11,5
74.147.206.44,8,8
74.155.220.117,6,10
74.157.176.44,8,3
74.158.43.184,6,8
74.163.227.28,9,17
74.166.227.166,6,13
74.167.90.4,12,6
74.178.59.89,7,3
74.180.58.98,6,5
74.187.81.167,3,8
74.210.202.121,8,1
74.221.54.1,5,4
74.222.225.115,6,6
74.226.166.95,6,8
74.228.96.215,10,9
74.230.190.247,3,9
74.233.128.251,5,8
74.242.147.13,8,5
75.1.143.97,13,6
75.7.29.67,7,20
75.15.61.125,5,7
75.16.25.193,11,9
75.17.191.245,10,5
75.21.243.56,10,7
75.35.17.109,4,15
75.43.87.127,3,8
75.44.164.127,3,3
75.70.59.144,10,10
75.75.148.235,8,10
75.76.198.230,7,16
75.79.72.72,7,8
75.97.106.227,6,10
75.98.92.183,6,12
75.102.214.20,7,2
75.105.57.65,8,25
75.107.130.66,13,7
75.109.140.34,16,1
75.112.83.145,9,2
75.122.246.110,8,7
75.124.134.6,6,10
75.125.46.1,7,2
75.125.84.123,8,6
75.127.8.98,9,10
75.138.200.200,7,6
75.141.27.37,6,5
75.141.197.90,5,8
75.142.3.235,6,2
75.142.169.240,8,9
75.145.48.92,8,5
75.147.178.95,13,10
75.149.100.166,8,2
75.157.85.247,6,5
75.160.127.155,6,1
75.181.205.192,6,8
75.183.31.8,11,2
75.187.29.81,11,7
75.189.231.253,7,14
75.200.148.211,4,1
75.200.208.49,7,10
75.202.99.204,5,7
75.206.189.39,7,7
75.207.23.2,11,6
75.208.238.89,8,5
75.212.15.71,8,6
75.213.171.28,11,5
75.223.250.168,9,6
75.224.121.184,4,4
75.225.225.4,5,4
75.235.204.144,7,5
75.237.32.220,6,3
75.237.46.166,6,5
75.238.38.173,9,8
75.239.237.233,5,7
75.249.175.215,5,8
75.252.69.138,5,3
76.12.19.229,7,6
76.16.73.202,5,4
76.19.180.239,5,5
76.30.63.105,8,1
76.30.197.158,6,2
76.32.92.251,11,3
76.32.111.72,9,9
76.33.233.168,5,4
76.37.140.180,5,19
76.39.118.159,8,6
76.41.68.130,8,18
76.44.168.9,9,10
76.44.231.106,8,3
76.45.88.47,10,9
76.56.100.89,6,15
76.64.218.44,8,15
76.75.115.27,1,5
76.89.191.73,8,3
76.90.231.70,9,1
76.91.71.240,10,2
76.91.86.104,6,5
76.112.25.44,10,19
76.116.214.126,5,1
76.124.239.197,9,6
76.127.126.236,8,3
76.133.246.53,5,7
76.135.98.144,1,8
76.151.219.205,7,3
76.152.88.62,4,6
76.156.24.121,8,3
76.161.117.83,6,2
76.162.236.8,8,2
76.164.226.6,8,8
76.166.148.44,10,16
76.168.59.122,9,19
76.169.167.32,12,4
76.170.153.8,7,14
76.174.87.143,6,3
76.179.32.192,5,1
76.182.97.135,6,19
76.186.169.117,8,2
76.187.136.113,13,13
76.200.234.52,10,10
76.218.44.130,1,15
76.224.152.238,3,5
76.230.253.220,4,20
76.232.188.154,7,1
76.233.230.110,2,10
76.246.235.164,10,3
76.254.95.54,5,12
77.1.142.252,6,1
77.8.73.176,8,4
77.12.227.148,3,7
77.13.31.162,3,14
77.20.229.190,8,16
77.27.137.48,9,1
77.37.19.189,13,1
77.46.40.134,6,10
77.50.12.139,9,5
77.56.178.252,5,3
77.57.18.174,6,8
77.58.224.121,7,12
77.59.90.171,3,10
77.60.43.47,11,5
77.62.243.95,8,18
77.64.128.238,5,1
77.68.68.112,7,8
77.69.90.35,6,4
77.75.177.12,3,7
77.79.14.141,6,3
77.83.206.147,7,5
77.87.53.182,5,9
77.94.42.172,8,5
77.96.18.237,11,1
77.97.119.98,10,5
77.97.254.195,14,7
77.98.186.117,3,4
77.105.8.52,8,1
77.112.186.231,3,8
77.114.2.69,5,8
77.114.85.11,6,9
77.116.175.47,3,12
77.120.209.38,5,6
77.132.136.187,4,10
77.144.45.83,4,3
77.151.60.247,2,2
77.153.24.73,9,15
77.154.63.38,1,2
77.157.19.203,8,5
77.157.40.118,5,5
77.158.143.232,6,10
77.162.108.112,7,4
77.168.60.178,6,13
77.175.176.122,3,9
77.192.165.188,10,14
77.192.205.33,4,7
77.197.166.50,10,10
77.204.70.253,9,10
77.207.181.1,5,4
77.245.85.170,5,8
77.245.129.248,6,10
77.246.134.225,10,2
77.248.240.24,7,13
78.4.151.11,6,10
78.5.46.161,6,3
78.13.119.191,9,7
78.25.120.177,8,4
78.27.112.157,6,9
78.28.125.129,7,19
78.37.238.189,11,8
78.40.241.195,10,7
78.50.203.4,5,7
78.51.176.111,8,5
78.53.238.70,7,10
78.55.76.96,9,2
78.55.222.252,8,2
78.56.76.58,8,5
78.60.217.72,9,6
78.63.142.126,3,9
78.64.121.252,4,8
78.71.163.140,10,3
78.71.225.21,9,10
78.83.122.203,8,3
78.87.38.150,9,13
78.88.214.141,7,3
78.91.167.122,5,14
78.92.1.63,5,5
78.93.236.116,6,6
78.104.123.79,7,5
78.107.16.71,10,2
78.108.85.160,9,8
78.111.198.90,7,13
78.116.7.241,9,11
78.119.183.10,7,5
78.120.164.230,5,14
78.122.83.103,7,2
78.122.244.253,7,6
78.126.2.142,6,2
78.126.130.13,11,10
78.129.76.18,14,2
78.130.38.81,3,1
78.142.95.226,9,7
78.158.105.106,8,2
78.160.164.246,5,2
78.173.59.93,3,9
78.185.143.241,6,1
78.186.164.63,2,4
78.191.143.185,10,1
78.193.112.25,7,3
78.196.198.98,5,10
78.200.102.107,6,3
78.206.123.186,7,4
78.210.100.133,10,15
78.214.163.159,3,10
78.217.253.158,6,10
78.225.190.67,10,5
78.234.149.202,4,12
78.234.151.86,5,9
78.243.168.162,6,4
78.248.33.40,8,7
78.249.54.110,5,5
78.251.80.122,9,5
78.254.229.220,7,1
79.13.16.149,6,15
79.21.101.6,4,7
79.24.65.9,4,8
79.28.118.27,10,4
79.31.9.178,8,3
79.35.156.103,6,5
79.38.231.146,4,8
79.39.50.148,4,3
79.40.65.104,10,6
79.54.183.141,9,9
79.90.26.131,6,10
79.94.91.104,9,3
79.97.218.166,7,10
79.99.58.30,6,3
79.102.105.120,5,8
79.102.223.228,7,11
79.109.216.12,2,7
79.112.33.47,7,2
79.120.213.103,11,7
79.121.104.115,8,6
79.123.181.208,4,10
79.129.235.28,7,6
79.129.251.140,8,2
79.137.94.97,7,3
79.138.1.211,8,9
79.162.100.68,5,10
79.162.115.40,4,12
79.168.111.241,11,2
79.170.62.112,5,6
79.170.105.60,10,5
79.180.135.103,7,3
79.186.77.134,3,10
79.191.148.195,6,8
79.198.2.184,7,5
79.213.234.46,9,5
79.217.204.253,5,10
79.220.192.142,6,10
79.221.111.45,11,1
79.222.136.171,10,7
79.222.244.98,9,12
79.237.149.99,4,1
79.238.165.203,5,1
79.241.13.228,11,9
79.243.38.75,11,9
79.243.65.157,7,5
79.246.215.54,8,6
80.5.82.68,5,14
80.6.206.3,10,2
80.6.241.95,9,3
80.17.62.134,7,3
80.17.148.2,9,3
80.18.250.82,6,4
80.19.113.158,4,5
80.20.97.162,5,14
80.28.220.189,3,11
80.30.176.252,7,9
80.37.66.212,5,21
80.42.229.160,11,4
80.43.30.243,6,8
80.44.152.32,8,4
80.48.90.141,7,10
80.52.203.239,9,13
80.52.219.50,9,7
80.58.209.29,7,6
80.71.105.9,10,9
80.89.149.168,8,9
80.94.12.96,6,8
80.104.75.19,8,9
80.113.49.58,2,7
80.113.227.82,7,7
80.118.66.71,6,5
80.128.94.121,5,6
80.129.152.62,6,10
80.130.194.89,6,2
80.135.163.70,6,4
80.137.206.93,14,1
80.138.136.207,11,13
80.150.216.147,4,3
80.155.227.104,7,1
80.156.35.236,6,4
80.157.99.15,14,8
80.158.21.235,9,14
80.159.119.153,10,2
80.159.214.33,7,3
80.160.72.171,9,2
80.161.88.211,12,11
80.165.221.252,5,2
80.168.19.133,5,9
80.169.79.65,8,8
80.178.222.7,6,2
80.182.127.162,8,7
80.182.166.243,4,8
80.183.2.41,4,13
80.183.243.174,8,13
80.208.234.84,8,5
80.217.100.91,6,4
80.218.141.206,8,5
80.224.61.14,4,6
80.225.242.155,11,4
80.237.239.245,10,1
80.241.126.49,6,4
80.245.226.234,6,4
80.246.85.16,4,5
80.246.184.17,6,10
80.249.247.134,3,1
80.251.19.224,12,9
81.1.114.85,12,6
81.4.13.57,8,8
81.4.23.141,8,9
81.24.187.188,3,9
81.30.30.198,7,8
81.55.172.73,10,4
81.55.181.66,10,9
81.65.183.140,7,4
81.75.91.178,5,10
81.84.43.12,9,4
81.92.7.134,13,5
81.93.164.151,4,6
81.93.245.187,9,6
81.94.34.113,4,9
81.108.81.196,5,2
81.136.245.27,8,3
81.153.115.25,7,8
81.159.79.177,6,16
81.162.63.110,10,1
81.171.189.66,3,4
81.179.36.31,7,3
81.181.202.128,10,7
81.184.84.124,5,13
81.184.144.227,4,4
81.192.113.10,5,10
81.193.105.18,2,6
81.201.27.160,6,16
81.211.10.157,6,10
81.219.13.57,7,9
81.224.206.251,5,6
81.230.199.90,15,7
81.231.155.131,9,6
81.234.183.28,8,5
81.238.141.32,8,3
81.244.35.66,8,11
81.244.209.37,4,9
81.246.26.6,4,6
81.248.82.236,7,3
81.253.190.85,6,8
82.1.10.100,6,3
82.11.75.137,6,5
82.11.138.169,6,7
82.12.90.211,9,10
82.14.83.31,4,9
82.14.215.132,6,16
82.19.73.63,9,6
82.20.253.101,5,2
82.33.112.31,8,5
82.45.11.112,5,2
82.50.95.215,10,5
82.56.211.81,4,5
82.57.68.145,8,7
82.68.70.217,3,6
82.78.138.2,11,2
82.82.29.19,6,3
82.86.229.239,7,7
82.88.13.96,9,5
82.90.229.190,7,9
82.91.233.2,7,9
82.92.61.128,7,1
82.100.34.168,6,15
82.100.109.42,5,5
82.102.125.5,4,13
82.112.64.96,6,7
82.123.172.220,6,9
82.127.14.1,2,9
82.129.240.160,3,3
82.136.222.245,4,2
82.139.48.240,4,9
82.147.178.21,2,17
82.155.130.158,8,9
82.157.128.161,9,8
82.169.147.233,10,9
82.191.184.139,7,4
82.193.19.190,5,10
82.205.243.96,7,9
82.212.102.173,13,9
82.218.245.128,10,12
82.227.246.231,8,11
82.232.16.124,8,4
82.232.53.185,5,4
82.236.74.241,8,1
82.252.241.204,10,2
82.253.133.162,8,10
83.1.52.53,10,1
83.8.199.153,3,8
83.11.163.229,9,6
83.11.191.179,3,7
83.11.191.218,15,16
83.12.74.221,4,7
83.14.60.40,5,7
83.16.237.16,7,16
83.17.243.106,8,8
83.18.15.92,8,8
83.18.142.184,6,6
83.20.236.168,10,10
83.22.160.179,12,6
83.23.27.68,6,7
83.35.150.152,12,4
83.41.220.224,5,9
83.45.78.116,3,9
83.45.198.128,4,7
83.49.23.142,6,9
83.49.122.132,7,8
83.52.225.6,13,10
83.57.147.84,7,2
83.67.5.182,11,7
83.75.97.95,3,1
83.82.74.98,3,8
83.87.100.61,10,4
83.93.59.96,5,10
83.95.119.119,6,6
83.101.110.220,7,1
83.103.125.87,15,4
83.104.98.167,13,11
83.108.110.87,7,14
83.111.229.162,11,6
83.114.66.96,10,3
83.124.37.188,6,16
83.127.110.9,11,4
83.129.158.194,8,16
83.130.53.224,5,8
83.140.210.140,3,2
83.141.235.85,8,8
83.144.4.64,8,4
83.145.164.56,9,9
83.147.14.251,11,7
83.147.131.174,6,5
83.149.15.119,4,6
83.154.249.116,4,6
83.163.40.224,5,9
83.165.157.124,6,8
83.173.113.244,7,2
83.179.165.139,6,2
83.195.195.203,6,5
83.202.238.75,9,16
83.203.238.230,7,4
83.204.235.25,4,3
83.210.135.174,7,2
83.221.231.113,7,4
83.234.133.118,6,11
83.237.179.112,5,4
83.237.195.92,8,7
83.250.161.56,9,6
84.5.177.230,9,6
84.8.106.104,4,15
84.9.79.9,4,6
84.16.120.187,4,4
84.22.95.219,1,3
84.22.150.19,8,15
84.22.196.159,13,7
84.27.151.15,7,16
84.30.169.221,7,3
84.33.101.18,7,4
84.36.21.103,13,4
84.37.173.55,10,11
84.45.149.32,5,4
84.56.121.198,8,1
84.58.239.30,4,10
84.59.71.84,3,1
84.65.123.248,8,17
84.75.154.67,9,19
84.91.111.142,7,4
84.96.87.45,4,9
84.96.188.212,9,10
84.98.30.225,9,3
84.107.2.131,8,10
84.108.251.101,7,6
84.110.146.212,11,9
84.120.249.90,8,4
84.127.79.49,5,10
84.143.32.133,7,6
84.144.124.1,6,3
84.145.134.9,6,5
84.146.39.105,6,13
84.159.215.185,5,8
84.164.83.25,7,20
84.171.102.116,9,5
84.171.148.96,7,2
84.175.167.170,6,6
84.183.126.1,3,6
84.189.207.218,2,10
84.191.209.44,2,7
84.224.131.115,2,10
84.235.64.80,9,10
84.237.19.250,12,9
84.243.89.185,8,8
84.244.10.150,11,5
84.246.166.57,7,3
84.250.143.80,4,11
84.252.211.105,10,4
84.254.5.163,5,9
85.1.51.45,10,10
85.1.247.87,2,9
85.3.204.117,7,2
85.14.86.63,12,2
85.15.140.167,4,13
85.17.195.175,13,8
85.22.71.177,8,1
85.22.76.200,9,2
85.23.88.237,8,2
85.23.250.77,6,7
85.38.241.201,6,1
85.41.202.231,9,1
85.42.24.129,9,16
85.46.238.176,5,2
85.52.215.191,5,9
85.53.39.80,7,9
85.57.211.1,6,5
85.58.88.105,14,2
85.60.211.252,5,15
85.74.213.202,6,8
85.81.94.171,8,3
85.87.86.32,3,16
85.90.78.193,4,2
85.90.154.240,6,6
85.100.35.230,7,9
85.100.71.1,4,9
85.108.15.30,6,3
85.118.162.201,5,2
85.130.217.110,5,10
85.135.106.109,8,5
85.139.207.247,10,2
85.140.63.31,5,6
85.149.96.77,9,6
85.168.74.12,6,3
85.171.69.217,7,7
85.171.106.234,14,6
85.172.61.142,7,13
85.175.230.180,8,7
85.176.86.164,8,4
85.179.197.48,6,1
85.182.57.97,10,5
85.189.115.250,2,8
85.191.163.230,2,4
85.198.80.74,3,3
85.218.194.172,6,1
85.223.21.204,4,5
85.235.251.106,4,11
85.240.29.164,7,1
85.243.155.36,6,2
85.245.7.250,7,7
85.248.211.82,6,3
85.253.13.170,9,2
86.2.59.249,8,5
86.7.124.5,10,10
86.16.132.234,8,2
86.17.75.36,3,17
86.17.148.77,7,5
86.23.94.179,9,7
86.32.191.49,10,2
86.34.30.170,4,1
86.35.75.64,9,8
86.37.69.167,7,10
86.37.183.210,11,5
86.39.195.14,6,8
86.40.36.79,4,1
86.57.31.101,10,1
86.59.190.44,6,12
86.63.105.82,6,3
86.65.47.105,12,9
86.65.122.232,7,15
86.67.253.24,5,23
86.76.12.92,6,6
86.76.96.141,11,4
86.77.245.222,5,3
86.81.163.129,8,9
86.84.186.198,7,9
86.104.233.21,4,6
86.110.242.88,7,5
86.115.164.225,6,3
86.135.171.215,8,13
86.138.13.41,8,7
86.158.217.114,6,4
86.162.242.129,9,8
86.163.33.138,7,11
86.178.18.238,13,9
86.179.49.57,6,10
86.180.160.243,7,8
86.185.67.116,3,18
86.189.161.34,15,5
86.191.92.204,7,3
86.198.223.7,10,9
86.202.105.23,4,6
86.203.149.213,5,8
86.203.151.254,2,13
86.207.179.217,10,7
86.220.161.222,4,13
86.226.98.138,6,4
86.228.166.151,7,5
86.237.243.214,7,12
86.249.86.175,5,14
86.251.136.220,6,7
86.252.106.114,9,9
86.253.178.63,6,6
87.4.128.147,3,2
87.11.38.225,7,8
87.11.57.229,6,7
87.12.251.201,10,4
87.14.173.152,5,8
87.16.232.168,6,6
87.25.180.3,9,2
87.26.166.60,3,5
87.28.106.162,7,6
87.32.17.55,7,4
87.36.102.124,10,5
87.41.187.189,5,5
87.46.244.38,6,6
87.48.239.219,3,3
87.50.23.23,5,1
87.52.172.167,6,1
87.59.123.56,4,1
87.60.142.6,8,8
87.61.28.114,8,5
87.63.239.88,7,7
87.72.5.236,5,7
87.72.32.119,6,1
87.73.31.54,9,8
87.82.214.13,8,6
87.83.253.220,5,7
87.86.186.38,5,10
87.87.245.104,7,5
87.89.17.199,8,2
87.99.151.99,11,4
87.101.4.164,4,4
87.102.69.205,6,4
87.104.57.101,9,5
87.112.103.18,5,10
87.114.238.109,8,5
87.115.224.246,5,9
87.122.99.53,4,3
87.124.9.8,8,4
87.124.138.208,7,4
87.125.102.79,7,5
87.125.159.156,13,13
87.132.147.158,9,4
87.138.55.21,3,8
87.145.48.143,10,8
87.150.39.213,8,9
87.153.114.50,7,9
87.155.194.43,11,10
87.158.140.20,7,21
87.169.161.209,4,7
87.178.61.115,9,10
87.185.81.168,3,9
87.189.7.9,14,8
87.196.245.251,5,6
87.198.158.47,4,4
87.200.59.60,6,7
87.200.226.236,5,1
87.202.38.152,7,3
87.207.34.133,4,3
87.207.74.64,2,10
87.213.139.107,9,4
87.218.19.91,6,2
87.235.61.59,9,10
87.239.32.163,4,6
87.244.233.87,8,8
87.246.84.52,7,7
87.253.133.38,5,17
88.1.127.254,6,4
88.3.195.223,9,6
88.9.30.147,8,7
88.9.215.79,5,10
88.11.208.23,5,1
88.13.139.91,9,8
88.14.91.102,5,2
88.15.103.83,7,2
88.33.4.247,4,5
88.36.100.153,8,1
88.43.66.161,6,3
88.58.137.243,6,6
88.72.44.248,5,13
88.73.212.25,3,10
88.74.84.157,8,7
88.76.178.187,8,5
88.77.93.201,11,5
88.81.133.53,7,8
88.82.23.134,0,5
88.84.214.104,3,3
88.85.89.123,6,7
88.91.103.176,9,5
88.91.228.230,8,8
88.94.181.68,6,14
88.96.101.59,6,7
88.100.147.100,10,8
88.120.19.103,7,14
88.130.238.239,1,6
88.141.1.154,10,11
88.144.195.194,6,6
88.145.190.121,6,6
88.151.102.28,7,8
88.155.87.124,6,10
88.158.210.45,2,10
88.166.17.222,5,7
88.169.43.182,8,6
88.171.169.174,7,7
88.174.114.223,2,4
88.178.225.23,5,9
88.182.158.138,12,11
88.189.40.130,10,5
88.194.57.192,6,4
88.199.46.128,4,8
88.206.115.64,6,9
88.207.91.249,11,5
88.208.49.109,11,1
88.208.169.64,10,15
88.213.137.146,4,3
88.217.245.86,5,13
88.224.11.221,7,3
88.235.156.94,3,3
88.237.42.94,12,8
88.239.239.60,9,11
88.241.199.38,5,6
88.245.48.166,8,7
88.248.161.190,9,6
89.7.191.121,8,9
89.10.90.165,3,10
89.16.12.166,5,13
89.16.82.239,9,18
89.31.180.186,8,2
89.33.97.238,9,1
89.44.175.38,8,9
89.46.195.212,3,1
89.52.87.155,2,3
89.59.190.72,5,7
89.60.25.100,9,8
89.62.126.210,6,6
89.63.13.227,5,7
89.64.89.101,9,4
89.66.48.88,8,2
89.66.171.7,5,5
89.71.211.136,10,10
89.81.18.31,8,10
89.85.161.104,6,7
89.89.23.181,10,1
89.90.47.113,5,7
89.91.216.67,5,6
89.98.158.53,9,11
89.108.244.109,4,12
89.115.36.155,8,5
89.118.205.26,6,2
89.129.135.208,3,11
89.136.85.145,7,3
89.136.88.222,10,11
89.141.147.238,8,14
89.142.24.71,8,6
89.148.105.247,4,6
89.158.141.215,4,6
89.159.224.102,3,4
89.161.11.208,5,5
89.162.151.104,4,6
89.167.106.222,7,9
89.167.197.5,1,1
89.168.137.48,7,3
89.170.34.248,8,10
89.175.247.250,7,10
89.177.36.125,5,8
89.182.106.26,9,9
89.182.118.101,10,4
89.183.6.71,10,9
89.183.50.245,8,4
89.195.234.101,11,5
89.196.225.160,5,3
89.203.235.76,8,5
89.215.43.221,7,8
89.217.55.221,14,13
89.221.26.120,9,5
89.227.207.186,10,4
89.229.208.99,12,1
89.230.48.241,8,6
89.243.74.72,8,11
89.243.120.31,7,3
90.4.244.59,3,10
90.8.84.190,4,3
90.14.63.23,6,1
90.15.102.13,6,6
90.20.3.76,3,5
90.22.167.209,5,1
90.28.76.20,6,10
90.28.180.199,2,4
90.29.49.68,8,3
90.35.222.62,4,5
90.39.10.103,6,3
90.40.172.217,4,9
90.42.151.9,6,11
90.50.183.101,7,3
90.63.51.37,9,15
90.67.251.247,5,6
90.80.51.184,8,4
90.84.40.10,10,7
90.85.66.12,5,13
90.87.151.115,11,9
90.89.133.159,6,8
90.96.74.140,8,10
90.105.43.212,5,5
90.106.29.103,9,1
90.112.158.126,7,15
90.128.116.67,8,2
90.130.241.254,7,3
90.136.128.94,7,1
90.163.120.187,5,3
90.163.144.17,5,10
90.167.116.74,17,7
90.173.208.105,8,6
90.174.42.1,5,5
90.185.195.116,7,8
90.189.162.225,7,2
90.193.238.77,6,4
90.195.159.24,3,8
90.195.191.186,7,6
90.198.86.75,6,4
90.198.195.61,8,6
90.200.245.44,6,4
90.203.24.212,6,10
90.204.167.35,8,5
90.218.19.6,8,7
90.221.242.232,7,10
90.229.104.20,6,3
90.230.82.234,4,8
90.237.139.77,3,6
90.238.88.132,6,1
90.239.95.92,6,19
90.251.54.176,7,10
90.251.203.137,4,3
90.254.133.224,7,8
91.3.161.160,9,5
91.5.76.19,8,6
91.5.232.204,7,8
91.6.3.176,10,8
91.8.108.5,10,9
91.17.40.12,9,4
91.21.115.42,2,5
91.22.235.141,4,3
91.39.60.1,6,3
91.41.194.73,8,16
91.52.57.79,7,7
91.54.179.76,4,6
91.57.137.185,7,2
91.58.214.127,12,8
91.61.207.202,6,4
91.63.146.126,10,6
91.79.47.85,12,10
91.80.31.251,9,9
91.80.182.74,7,9
91.81.8.65,6,1
91.81.76.227,8,10
91.85.190.126,5,10
91.86.53.42,8,1
91.89.94.193,3,7
91.91.22.71,7,13
91.94.233.27,8,5
91.95.91.211,7,15
91.96.21.225,2,9
91.98.19.96,10,8
91.98.119.70,2,5
91.111.243.51,5,3
91.114.169.115,3,1
91.117.139.67,10,6
91.117.246.207,3,4
91.121.50.185,6,7
91.123.84.194,7,9
91.125.176.42,11,10
91.126.177.123,11,1
91.145.28.120,9,10
91.148.79.214,8,5
91.148.155.143,10,1
91.150.163.49,9,2
91.151.16.189,8,3
91.154.158.195,4,8
91.178.232.134,6,3
91.184.70.191,7,7
91.194.178.91,9,7
91.205.173.253,8,6
91.206.213.30,6,9
91.220.241.78,3,7
91.236.162.233,6,6
91.245.226.46,4,9
91.247.15.157,5,10
91.254.70.204,9,7
92.1.67.171,6,2
92.23.239.21,5,2
92.34.154.111,8,1
92.36.52.127,4,10
92.39.204.62,8,3
92.40.186.241,6,2
92.42.223.213,3,1
92.43.199.213,8,17
92.58.146.62,4,16
92.70.134.117,3,12
92.84.43.5,6,8
92.85.193.79,7,7
92.94.160.205,6,2
92.99.39.6,7,10
92.103.94.106,4,2
92.115.138.70,3,6
92.131.156.14,5,10
92.131.163.7,7,2
92.140.167.3,6,1
92.142.60.172,5,1
92.142.171.202,8,7
92.143.44.246,8,1
92.143.219.12,13,3
92.146.56.2,6,7
92.146.205.112,6,7
92.147.192.21,6,3
92.149.25.204,11,10
92.164.209.2,11,12
92.179.169.114,5,3
92.180.152.120,6,11
92.182.193.81,5,10
92.185.201.104,6,6
92.195.132.237,8,5
92.196.106.239,5,9
92.200.78.9,3,6
92.204.159.186,6,4
